event_id,student_id,event_date,feature_name,event_type,is_synthetic
1,1,2026-04-26,study_room,session_started,True
2,1,2026-04-26,dashboard,page_view,True
3,1,2026-04-28,study_room,session_started,True
4,1,2026-04-28,notes,note_uploaded,True
5,1,2026-04-28,dashboard,page_view,True
6,1,2026-04-29,study_room,session_started,True
7,1,2026-05-01,study_room,session_started,True
8,1,2026-05-01,dashboard,page_view,True
9,1,2026-05-02,dashboard,page_view,True
10,1,2026-05-03,study_room,session_started,True
11,1,2026-05-03,notes,note_uploaded,True
12,1,2026-05-04,study_room,session_started,True
13,1,2026-05-10,study_room,session_started,True
14,1,2026-05-12,study_room,session_started,True
15,1,2026-05-13,study_room,session_started,True
16,1,2026-05-14,promotions,page_view,True
17,1,2026-05-15,study_room,session_started,True
18,1,2026-05-15,notes,note_uploaded,True
19,1,2026-05-19,study_room,session_started,True
20,1,2026-05-20,study_room,session_started,True
21,1,2026-05-20,notes,note_uploaded,True
22,1,2026-05-22,study_room,session_started,True
23,1,2026-05-23,study_room,session_started,True
24,1,2026-05-24,study_room,session_started,True
25,1,2026-05-24,dashboard,page_view,True
26,1,2026-05-25,dashboard,page_view,True
27,1,2026-05-27,study_room,session_started,True
28,1,2026-05-28,study_room,session_started,True
29,1,2026-05-28,promotions,page_view,True
30,1,2026-05-30,study_room,session_started,True
31,2,2026-04-15,promotions,page_view,True
32,2,2026-04-17,dashboard,page_view,True
33,2,2026-04-19,rewards,page_view,True
34,2,2026-04-20,rewards,page_view,True
35,2,2026-04-22,promotions,page_view,True
36,2,2026-04-23,rewards,page_view,True
37,2,2026-04-25,promotions,page_view,True
38,2,2026-04-28,promotions,page_view,True
39,2,2026-05-03,study_room,session_started,True
40,2,2026-05-04,study_room,session_started,True
41,2,2026-05-04,notes,note_uploaded,True
42,2,2026-05-05,study_room,session_started,True
43,2,2026-05-06,study_room,session_started,True
44,2,2026-05-09,study_room,session_started,True
45,2,2026-05-09,dashboard,page_view,True
46,2,2026-05-12,study_room,session_started,True
47,2,2026-05-12,rewards,page_view,True
48,2,2026-05-14,study_room,session_started,True
49,2,2026-05-14,notes,note_uploaded,True
50,2,2026-05-15,dashboard,page_view,True
51,2,2026-05-16,promotions,page_view,True
52,2,2026-05-17,study_room,session_started,True
53,2,2026-05-19,rewards,page_view,True
54,2,2026-05-21,dashboard,page_view,True
55,2,2026-05-22,rewards,page_view,True
56,2,2026-05-26,study_room,session_started,True
57,2,2026-05-28,study_room,session_started,True
58,2,2026-05-29,promotions,page_view,True
59,2,2026-05-30,study_room,session_started,True
60,2,2026-05-30,notes,note_uploaded,True
61,2,2026-05-30,dashboard,page_view,True
62,3,2026-04-24,study_room,session_started,True
63,3,2026-04-24,notes,note_uploaded,True
64,3,2026-04-24,promotions,page_view,True
65,3,2026-04-26,promotions,page_view,True
66,3,2026-04-27,study_room,session_started,True
67,3,2026-04-28,study_room,session_started,True
68,3,2026-04-29,study_room,session_started,True
69,3,2026-04-30,study_room,session_started,True
70,3,2026-04-30,rewards,page_view,True
71,3,2026-05-02,study_room,session_started,True
72,3,2026-05-03,study_room,session_started,True
73,3,2026-05-03,promotions,page_view,True
74,3,2026-05-04,study_room,session_started,True
75,3,2026-05-04,notes,note_uploaded,True
76,3,2026-05-05,study_room,session_started,True
77,3,2026-05-05,rewards,page_view,True
78,3,2026-05-07,study_room,session_started,True
79,3,2026-05-08,study_room,session_started,True
80,3,2026-05-08,notes,note_uploaded,True
81,3,2026-05-09,rewards,page_view,True
82,3,2026-05-11,study_room,session_started,True
83,3,2026-05-12,promotions,page_view,True
84,3,2026-05-15,study_room,session_started,True
85,3,2026-05-15,notes,note_uploaded,True
86,3,2026-05-17,study_room,session_started,True
87,3,2026-05-17,notes,note_uploaded,True
88,3,2026-05-17,dashboard,page_view,True
89,3,2026-05-18,study_room,session_started,True
90,3,2026-05-19,dashboard,page_view,True
91,3,2026-05-22,study_room,session_started,True
92,3,2026-05-23,study_room,session_started,True
93,3,2026-05-24,study_room,session_started,True
94,3,2026-05-25,study_room,session_started,True
95,3,2026-05-26,dashboard,page_view,True
96,3,2026-05-27,study_room,session_started,True
97,3,2026-05-27,notes,note_uploaded,True
98,3,2026-05-27,dashboard,page_view,True
99,3,2026-05-28,promotions,page_view,True
100,3,2026-05-30,dashboard,page_view,True
101,3,2026-05-31,study_room,session_started,True
102,3,2026-05-31,notes,note_uploaded,True
103,4,2026-04-14,study_room,session_started,True
104,4,2026-04-15,study_room,session_started,True
105,4,2026-04-15,promotions,page_view,True
106,4,2026-04-16,study_room,session_started,True
107,4,2026-04-16,promotions,page_view,True
108,4,2026-04-17,study_room,session_started,True
109,4,2026-04-17,notes,note_uploaded,True
110,4,2026-04-19,study_room,session_started,True
111,4,2026-04-20,study_room,session_started,True
112,4,2026-04-20,promotions,page_view,True
113,4,2026-04-21,study_room,session_started,True
114,4,2026-04-21,notes,note_uploaded,True
115,4,2026-04-22,study_room,session_started,True
116,4,2026-04-22,promotions,page_view,True
117,4,2026-04-23,dashboard,page_view,True
118,4,2026-04-24,study_room,session_started,True
119,4,2026-04-24,rewards,page_view,True
120,4,2026-04-25,study_room,session_started,True
121,4,2026-04-27,study_room,session_started,True
122,4,2026-04-28,study_room,session_started,True
123,4,2026-04-28,dashboard,page_view,True
124,4,2026-04-29,study_room,session_started,True
125,4,2026-04-30,rewards,page_view,True
126,4,2026-05-02,study_room,session_started,True
127,4,2026-05-02,promotions,page_view,True
128,4,2026-05-03,study_room,session_started,True
129,4,2026-05-03,promotions,page_view,True
130,4,2026-05-04,study_room,session_started,True
131,4,2026-05-05,study_room,session_started,True
132,4,2026-05-08,study_room,session_started,True
133,4,2026-05-09,study_room,session_started,True
134,4,2026-05-10,study_room,session_started,True
135,4,2026-05-10,promotions,page_view,True
136,4,2026-05-11,study_room,session_started,True
137,4,2026-05-11,rewards,page_view,True
138,4,2026-05-12,study_room,session_started,True
139,4,2026-05-13,study_room,session_started,True
140,4,2026-05-13,dashboard,page_view,True
141,4,2026-05-14,study_room,session_started,True
142,4,2026-05-15,study_room,session_started,True
143,4,2026-05-16,promotions,page_view,True
144,4,2026-05-17,study_room,session_started,True
145,4,2026-05-17,rewards,page_view,True
146,4,2026-05-19,study_room,session_started,True
147,4,2026-05-20,study_room,session_started,True
148,4,2026-05-20,rewards,page_view,True
149,4,2026-05-21,study_room,session_started,True
150,4,2026-05-23,study_room,session_started,True
151,4,2026-05-24,study_room,session_started,True
152,4,2026-05-24,notes,note_uploaded,True
153,4,2026-05-25,study_room,session_started,True
154,4,2026-05-26,study_room,session_started,True
155,4,2026-05-27,study_room,session_started,True
156,4,2026-05-28,study_room,session_started,True
157,4,2026-05-28,promotions,page_view,True
158,4,2026-05-29,study_room,session_started,True
159,4,2026-05-29,dashboard,page_view,True
160,4,2026-05-30,study_room,session_started,True
161,4,2026-05-30,notes,note_uploaded,True
162,4,2026-05-31,study_room,session_started,True
