student_id,activity_date,active_seconds,heartbeat_count,first_seen_at,last_seen_at,is_synthetic
1,2026-04-26,3600,12,2026-04-26T09:00:00,2026-04-26T10:30:00,True
1,2026-04-27,0,0,2026-04-27T09:00:00,,True
1,2026-04-28,4740,15,2026-04-28T09:00:00,2026-04-28T10:30:00,True
1,2026-04-29,1680,5,2026-04-29T09:00:00,2026-04-29T09:30:00,True
1,2026-04-30,0,0,2026-04-30T09:00:00,,True
1,2026-05-01,3600,12,2026-05-01T09:00:00,2026-05-01T10:30:00,True
1,2026-05-02,0,0,2026-05-02T09:00:00,,True
1,2026-05-03,4080,13,2026-05-03T09:00:00,2026-05-03T10:30:00,True
1,2026-05-04,4140,13,2026-05-04T09:00:00,2026-05-04T10:30:00,True
1,2026-05-05,0,0,2026-05-05T09:00:00,,True
1,2026-05-06,0,0,2026-05-06T09:00:00,,True
1,2026-05-07,0,0,2026-05-07T09:00:00,,True
1,2026-05-08,0,0,2026-05-08T09:00:00,,True
1,2026-05-09,0,0,2026-05-09T09:00:00,,True
1,2026-05-10,3240,10,2026-05-10T09:00:00,2026-05-10T09:30:00,True
1,2026-05-11,0,0,2026-05-11T09:00:00,,True
1,2026-05-12,4980,16,2026-05-12T09:00:00,2026-05-12T10:30:00,True
1,2026-05-13,3060,10,2026-05-13T09:00:00,2026-05-13T09:30:00,True
1,2026-05-14,0,0,2026-05-14T09:00:00,,True
1,2026-05-15,3360,11,2026-05-15T09:00:00,2026-05-15T09:30:00,True
1,2026-05-16,0,0,2026-05-16T09:00:00,,True
1,2026-05-17,0,0,2026-05-17T09:00:00,,True
1,2026-05-18,0,0,2026-05-18T09:00:00,,True
1,2026-05-19,1740,5,2026-05-19T09:00:00,2026-05-19T09:30:00,True
1,2026-05-20,3900,13,2026-05-20T09:00:00,2026-05-20T10:30:00,True
1,2026-05-21,0,0,2026-05-21T09:00:00,,True
1,2026-05-22,2520,8,2026-05-22T09:00:00,2026-05-22T09:30:00,True
